연,월,강원,서울,경기,인천,경남,경북,광주,대구,대전,부산,세종,울산,전남,전북,제주,충남,충북
1991,11,1718,84393,0,34919,5318,2776,4985,5856,3116,7492,0,8266,2541,3008,0,0,1424
1991,12,2598,126331,0,48370,7090,3116,7068,6503,5851,9560,0,9090,3034,4130,0,0,2078
1992,1,2645,153518,0,54741,8593,3336,8743,7857,6051,11018,0,8451,3471,4764,0,0,2342
1992,2,2486,143895,0,56864,9519,3295,7889,8752,6405,10550,0,9523,3473,4446,0,0,2175
1992,3,1948,108223,0,49195,8317,3068,6666,7390,5228,9696,0,9422,2995,3663,0,0,1837
1992,4,1392,71945,0,42009,6762,2902,4601,6184,3855,7318,0,7778,2543,2646,0,0,1351
1992,5,959,51059,0,33895,5109,2456,3347,4518,3071,6394,0,5546,2130,1949,0,0,962
1992,6,509,36390,0,26686,3868,2151,2431,3424,1849,5414,0,5167,1748,1256,0,0,669
1992,7,422,33987,0,20219,3874,2124,2168,2690,1439,5833,0,4561,1350,1002,0,0,623
1992,8,407,32462,0,17936,3272,2476,2109,2490,1553,5657,0,4257,1415,978,0,0,656
1992,9,625,36338,0,18637,3365,2809,2653,2850,1729,5577,0,4707,1644,1351,0,0,876
1992,10,1354,69753,0,26404,4537,3736,4508,3996,2774,7866,0,7277,2249,2564,0,0,1474
1992,11,2554,136929,0,44316,6561,4617,7850,6742,6072,11281,0,9320,3744,4529,0,0,2186
1992,12,3595,198812,0,62028,11019,5387,10759,9702,9903,15399,0,11404,4890,6393,0,0,3214
1993,1,4264,196690,46167,38667,10562,5619,12823,11851,12079,18329,0,11389,5805,7654,0,0,3816
1993,2,3585,205367,50959,39858,11715,5291,10824,12440,11499,15569,0,10983,5605,6542,0,0,3232
1993,3,3193,167910,43486,34443,10308,5242,9603,10610,9897,15516,0,12093,4671,6100,0,0,3048
1993,4,2144,131769,38203,30747,7785,4357,6756,9280,7271,10333,0,8174,4448,4460,0,0,2262
1993,5,1176,91057,29011,22517,6576,3764,4264,6265,4595,9361,0,7197,3202,2718,0,0,1552
1993,6,682,56329,20179,15963,5231,3428,3021,4522,3095,7646,0,6142,2514,1821,0,0,1209
1993,7,773,48091,16119,12864,4701,3466,2821,3806,2264,8639,0,3558,2200,1696,0,0,1109
1993,8,672,47172,15180,12628,4132,3220,2773,4106,4026,8548,0,5485,2212,1732,0,0,1334
1993,9,900,47302,16023,12556,4483,3650,2937,4279,3839,8309,0,5344,2342,1969,0,0,1510
1993,10,2131,71109,20933,18319,5089,4575,5604,4981,7202,11427,0,6605,3087,3794,0,0,2566
1993,11,3375,135861,36100,29715,8063,5835,8584,9010,10882,16065,0,8389,4271,5632,0,12,3543
1993,12,5706,222511,53948,44835,11379,7356,15293,14437,17240,24133,0,11734,6333,8902,0,293,5191
1994,1,6217,285613,69900,53084,15140,8028,13136,17377,18609,25702,0,13621,6687,9063,0,309,5362
1994,2,5122,284304,72209,51302,13231,6949,15306,18371,18830,21964,0,14000,6561,8878,0,288,4533
1994,3,4321,248452,66639,46882,13330,7540,13428,15220,16943,22950,0,14815,6183,7182,0,256,4670
1994,4,2583,185470,56348,38431,10649,5320,10450,12976,11787,14950,0,12122,4984,7171,0,166,2646
1994,5,1644,105651,37864,25459,7934,4682,6813,7874,7580,12254,0,10600,3870,3847,0,142,2042
1994,6,1029,76219,28254,19986,6669,4171,4808,5986,4983,10751,0,8454,3070,1863,0,78,1565
1994,7,724,60729,22850,15642,6256,3957,3935,5296,4492,11531,0,6812,2752,1938,0,49,1417
1994,8,723,53990,20378,13243,5488,3764,3709,5136,4295,11365,0,5797,2828,1839,0,43,1347
1994,9,1069,54443,21693,13667,5814,4037,3747,4907,4940,10437,0,5417,3142,2204,0,98,1680
1994,10,2735,84952,35747,25624,7409,5775,5176,5781,8797,14390,0,6843,4600,4301,0,270,2928
1994,11,4343,178353,55854,36874,10699,7389,8356,11239,14787,15084,0,10230,5725,6839,0,548,4846
1994,12,7438,276009,83881,54628,13638,10315,13666,16679,23263,25452,0,12927,7319,10764,0,1516,7351
1995,1,7629,333552,107115,66915,22835,11679,17668,23215,27577,32007,0,16219,8799,11858,0,2171,8372
1995,2,7592,358197,112671,70338,19608,11012,18255,24684,25999,26866,0,19046,8945,12061,0,2087,7156
1995,3,6538,327255,93913,60004,17671,9414,15193,19633,21447,25596,0,18201,7813,10417,0,1588,6707
1995,4,4964,263274,86765,53128,13436,8355,12813,17361,16811,19607,0,15482,6755,9241,0,1409,5100
1995,5,3478,192669,61563,36670,10531,6638,9651,11880,10623,15775,0,12348,4922,6388,0,1067,3784
1995,6,2168,125808,45117,27157,8170,6658,6224,9220,6534,13067,0,10778,3727,4119,0,674,2664
1995,7,1364,90194,33635,20848,6389,6798,5230,6895,5858,13288,0,9155,3135,3332,0,435,2315
1995,8,1252,76509,29329,19656,5692,6820,4645,6375,6428,13213,0,8675,3059,3700,0,345,2082
1995,9,1750,78049,33833,20717,5758,8334,4970,6382,7295,12939,0,7597,3692,4834,0,650,3200
1995,10,3085,105970,51424,31113,8004,10651,6648,9620,11001,16825,0,9836,5088,8249,0,1042,4866
1995,11,5283,186252,82272,47422,12285,13962,11435,14554,20117,26003,0,13637,8093,10812,0,2608,7959
1995,12,8266,314567,125937,68369,15727,20675,18235,23136,30945,38451,0,18410,10861,17413,0,3539,12097
1996,1,10542,456362,157029,85986,23471,19590,23663,30370,34762,40329,0,23948,11957,19998,0,3941,13994
1996,2,9922,459124,159996,84369,21802,21540,22953,32512,33893,37452,0,23467,12126,19940,0,3923,12959
1996,3,8808,393330,140339,75124,19699,19593,21614,31667,28726,34718,0,22415,10577,16370,0,3493,11590
1996,4,6653,310098,121654,65288,17270,17461,18638,24722,21454,26872,0,21080,9200,14130,0,2949,8688
1996,5,4390,191315,81875,44137,12020,12307,12563,15412,12010,18778,0,16661,5887,8514,0,1726,4879
1996,6,2493,105844,52611,28975,9279,11102,8089,10554,7664,16396,0,12780,4542,5444,0,1057,3177
1996,7,1696,90250,44836,25016,8673,11413,7103,9501,7324,17835,0,11631,4261,5098,0,968,3036
1996,8,1476,80208,38497,21303,7058,12318,6178,9400,7235,15364,0,10955,3408,4260,0,899,2944
1996,9,1794,81552,41902,21897,7358,13943,5725,8452,7388,14812,0,10972,3902,4749,0,1358,3712
1996,10,3422,133471,60775,32945,9923,17782,8382,12673,12932,22044,0,12422,5946,8712,0,2339,7357
1996,11,6121,261258,105888,55413,15784,22954,15328,21519,22209,33267,0,16565,9081,15620,0,5132,11214
1996,12,9388,414696,169530,84449,21165,30317,22193,34343,33528,47414,0,31097,12481,19922,0,7095,15641
1997,1,10873,500116,177848,92634,28762,32125,26794,41400,38768,54375,0,26666,14249,24206,0,9341,17838
1997,2,10292,505467,196432,96750,25984,32265,28176,43688,37235,45802,0,29184,13082,23385,0,8696,14857
1997,3,8597,395724,156387,79003,20550,27795,22736,36124,26206,43178,0,27109,10657,18218,0,6559,12934
1997,4,6397,299686,135560,68824,18266,25213,18741,31740,22436,33794,0,24102,9249,15745,0,5396,9523
1997,5,4908,198486,95097,48001,10415,19287,13339,21468,13018,25220,0,17557,6295,10007,0,3501,6624
1997,6,3290,141232,73141,36697,11850,20844,10293,18022,9375,20450,0,15656,4847,7331,0,2671,4587
1997,7,2121,98055,56047,25806,9057,18438,8699,15569,8629,21560,0,16740,4252,6404,0,2691,4271
1997,8,1834,84677,48775,22623,8236,17847,7666,15276,8395,19769,0,15726,4028,6082,0,5168,3843
1997,9,2383,90879,54915,25487,8030,19349,6837,17088,9475,21251,0,16987,4622,7421,0,6190,5303
1997,10,4349,177268,92535,42728,18216,24823,10515,22941,15445,30845,0,20555,6674,11241,0,8854,9284
1997,11,7415,308935,148683,66627,16788,30737,17812,33840,25090,42364,0,25528,9699,17543,0,11439,12431
1997,12,9977,447418,193619,88360,22317,34311,24906,46597,34134,59529,0,33160,13659,21084,0,14862,16533
1998,1,13157,492952,214197,92881,22842,38276,28391,50388,38833,62624,0,32792,12649,23558,0,12750,16994
1998,2,10987,511801,227862,99351,24985,35603,27366,55000,35263,52154,0,33983,12014,23400,0,12865,16795
1998,3,9261,380551,173528,75720,19302,29886,22515,47132,26380,47642,0,29776,9706,17478,0,11394,13049
1998,4,6555,286547,149432,66327,16684,26745,18459,42292,17974,33469,0,25501,7456,13209,0,8623,9747
1998,5,3936,161854,92951,40909,12099,22741,11615,30681,10786,25281,0,20161,5198,8206,0,7217,6322
1998,6,2981,123674,78683,34466,10797,22381,8755,28144,9679,24225,0,20183,4544,7290,0,6510,5564
1998,7,2453,99414,63854,27467,10372,20424,9710,25727,9740,23753,0,19097,3838,7092,0,4897,5384
1998,8,2095,89491,57547,26189,9723,19753,8103,23517,8624,23635,0,17185,3904,6199,0,4116,4993
1998,9,2071,98063,64254,29222,10495,22803,7874,26372,9547,23861,0,21820,3845,6946,0,5188,5676
1998,10,3368,128997,78619,34682,11210,24350,9672,27903,11989,28741,0,23101,5435,9810,0,6498,7947
1998,11,7114,293109,150402,67206,19079,33965,17453,43033,24821,48273,0,34577,9028,18297,0,10838,13767
1998,12,11070,471632,229178,102766,28994,40921,26435,59912,39481,64935,0,44146,13747,24875,0,15862,17451
1999,1,13945,572165,269658,117387,32692,43262,33602,67375,43097,75384,0,46774,14984,27979,0,14407,22605
1999,2,13292,573307,276025,113287,31537,39537,32312,67646,40967,64922,0,41612,15145,25454,0,15087,18725
1999,3,11620,477669,228979,100536,27849,37737,27928,58484,34135,61357,0,41221,15235,22432,0,12925,17716
1999,4,9143,365540,199736,83347,24486,33814,22782,52952,23512,44242,0,36868,12689,16817,0,10737,13184
1999,5,6038,209562,126877,53743,16733,27455,15163,37090,14178,31010,0,29652,10821,11755,0,7728,9871
1999,6,3656,150231,102817,39216,14127,26092,11872,31933,10905,27472,0,27748,9480,8708,0,6496,7896
1999,7,2647,109721,82042,30411,14462,25966,9969,30004,10519,28619,0,27096,9067,8302,0,5751,7291
1999,8,2520,103531,78179,29794,14106,25824,9824,28615,10486,27724,0,26691,9179,8118,0,5577,7622
1999,9,2651,109349,85222,32670,14901,27015,9690,32920,10624,27421,0,28894,9131,8653,0,6113,8180
1999,10,4443,189350,134937,47298,18262,34674,13547,37542,17210,39380,0,35501,11897,13902,0,9407,12794
1999,11,8026,339607,211998,78408,25458,41196,22688,56233,29345,56662,0,51108,15377,21727,0,13727,18763
1999,12,12453,525435,281953,114238,34537,47565,33935,70713,48039,83444,0,67331,20565,32084,0,18498,24752
2000,1,16219,662424,363014,139454,42129,55362,39465,86077,52992,85787,0,69241,22508,34507,0,20158,27838
2000,2,16280,689177,375937,145834,42604,52863,40674,84069,53950,87282,0,70910,22310,33784,0,23492,27175
2000,3,14105,566528,323145,121324,35990,47282,34610,76144,41898,74476,0,63627,18033,29315,0,21156,22904
2000,4,10364,396231,237437,91421,28698,40393,25898,62514,28618,58316,0,47106,15920,19783,0,17447,16818
2000,5,6843,262940,169495,67239,21073,35083,18426,46992,17503,45915,0,43749,13808,14375,0,14508,12299
2000,6,4169,156923,117805,41456,17748,31106,12810,38134,11228,37235,0,38363,12245,10366,0,12578,9415
2000,7,2952,115375,95545,33061,17823,29174,11523,34704,10624,35084,0,37142,11211,9939,0,11354,8692
2000,8,2800,108894,91000,32372,16218,29922,10695,32311,13005,33843,0,38071,11105,10051,0,11623,9412
2000,9,3318,132168,112694,41109,17237,32785,10473,35313,15589,32947,0,40063,10241,11345,0,12234,9861
2000,10,5256,198416,157466,53774,22823,38263,14911,44262,20239,42308,0,42432,13135,15237,0,15853,10552
2000,11,9167,375408,235364,86283,33103,48419,24937,57888,33564,56572,0,58444,17400,24622,0,22412,19488
2000,12,13363,552680,321845,128131,43778,56130,36302,74298,50959,78019,0,74715,20939,32491,0,27445,25608
2001,1,17984,729576,410693,159201,49501,66635,44101,86884,61917,96725,0,79536,24122,39428,0,33666,29840
2001,2,17409,720280,427205,153526,48532,61233,42977,89165,58110,89424,0,77488,22668,32705,0,30774,27436
2001,3,14384,571311,341766,129209,41972,54192,36286,73637,48510,77795,0,71076,20078,29577,0,27169,24187
2001,4,11013,411013,277196,104463,32131,43973,27094,61743,32954,56822,0,53504,15821,18696,0,22138,17281
2001,5,6152,224227,174798,70945,26078,37290,18069,46422,19815,46664,0,49405,12707,13120,0,18074,11957
2001,6,3814,137772,119199,48581,22269,32770,13269,39094,14577,38669,0,42810,10957,10025,0,15946,9287
2001,7,3124,124251,102949,45748,22148,25449,11124,35231,14840,40168,0,39269,10981,10446,0,16381,8992
